0,63606cada813c7a60a74ec88,CS 100,100,Elsa Gunter,1,N/A,Fall,2022,Introduction to Computer Science as a field and career for incoming first year and external transfer students in the computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
1,63606cada813c7a60a74ec89,CS 101,100,Neal E Davis,3,N/A,Fall,2022,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Course Information: Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction."
2,63606cada813c7a60a74ec8a,CS 105,100,Craig Zilles,3,MATH 112,FALL,2022,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Course Information: Prerequisite: MATH 112. Class Schedule Information: Students must register for one lab-discussion and one lecture section."
3,63606cada813c7a60a74ec8b,CS 124,100,Geoffrey Werner Challen,3,MATH 112,FALL,2022,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.
4,63606cada813c7a60a74ec8c,CS 128,100,Michael Nowak,3,CS 124,FALL,2022,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Course Information: Prerequisite: CS 124 or CS 125.
5,63606cada813c7a60a74ec8d,CS 173,100,Margaret M Fleck,3,"['CS 124', 'CS 125', 'ECE 220', 'MATH 220', 'MATH 221']",FALL,2022,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Course Information: Credit is not given for both CS 173 and MATH 213. "
6,636091f95ea98bf7c481620e,CS 210,200,Ryan Matthew Cunningham,"[2, 3]",CS 225,Fall,2022,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Course Information: Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required."
7,636091f95ea98bf7c481620f,CS 211,200,Ryan Matthew Cunningham,"[2, 3]",CS 225,Fall,2022,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising."
8,636091f95ea98bf7c4816210,CS 222,200,Michael Joseph Woodley,1,CS 128,FALL,2022,"Design and implementation of novel software solutions. Problem identification and definition; idea generation and evaluation; and software implementation, testing, and deployment. Emphasizes software development best practices?including framework selection, code review, documentation, appropriate library usage, project management, continuous integration and testing, and teamwork."
9,636091f95ea98bf7c4816211,CS 225,200,"['Graham Carl Evans', 'Wade A Fagen-Ulmschneider']",4,"['CS 126', 'CS 128 ', 'ECE 220', 'CS 173', 'MATH 213', 'MATH 347', 'MATH 412', ' MATH 413']",FALL,2022,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms"
